category,action_type,finding_or_control,architecture_name,exact_misconfiguration,terraform_resources,aws_resource_ids_or_names,securityhub_filter_field,securityhub_filter_value,status,notes
S3 Data Protection / Ops Hygiene,s3_bucket_encryption,S3.4,insecure_workload_stack,"Bucket has no default server-side encryption configuration.",aws_s3_bucket.unencrypted_default,"Bucket `<prefix>-unencr-*`",ComplianceSecurityControlId,S3.4,implementable,"Intentional encryption gap."
S3 Data Protection / Ops Hygiene,s3_bucket_encryption_kms,S3.15,insecure_workload_stack,"Bucket default encryption is SSE-S3 AES256 instead of SSE-KMS.",aws_s3_bucket.sse_s3_only|aws_s3_bucket_server_side_encryption_configuration.sse_s3_only,"Bucket `<prefix>-sse3-*`",ComplianceSecurityControlId,S3.15,implementable,"Explicitly non-KMS encryption."
S3 Data Protection / Ops Hygiene,s3_bucket_access_logging,S3.9,insecure_workload_stack,"Server access logging is not configured for the bucket.",aws_s3_bucket.no_access_logging,"Bucket `<prefix>-nolog-*`",ComplianceSecurityControlId,S3.9,implementable,"No logging target is configured."
S3 Data Protection / Ops Hygiene,s3_bucket_lifecycle_configuration,S3.11,insecure_workload_stack,"No lifecycle policy is configured on bucket objects.",aws_s3_bucket.no_lifecycle,"Bucket `<prefix>-nolife-*`",ComplianceSecurityControlId,S3.11,implementable,"No lifecycle configuration resource exists."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.53,insecure_workload_stack,"Security group allows TCP 22 from 0.0.0.0/0 and is attached to running EC2 instance.",aws_security_group.admin_ports_open|aws_vpc_security_group_ingress_rule.ssh_from_anywhere|aws_instance.workload,"Security group `<prefix>-admin-sg`, EC2 Name tag `<prefix>-ec2`",ComplianceSecurityControlId,EC2.53,implementable,"Real exposure with SG attached to workload."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.13,insecure_workload_stack,"Same open-admin-port SG misconfiguration attached to running EC2 workload.",aws_security_group.admin_ports_open|aws_vpc_security_group_ingress_rule.ssh_from_anywhere|aws_instance.workload,"Security group `<prefix>-admin-sg`, EC2 Name tag `<prefix>-ec2`",ComplianceSecurityControlId,EC2.13,implementable,"Alias/related control coverage."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.19,insecure_workload_stack,"Same open-admin-port SG misconfiguration attached to running EC2 workload.",aws_security_group.admin_ports_open|aws_vpc_security_group_ingress_rule.rdp_from_anywhere|aws_instance.workload,"Security group `<prefix>-admin-sg`, EC2 Name tag `<prefix>-ec2`",ComplianceSecurityControlId,EC2.19,implementable,"Alias/related control coverage."
Network / EC2 Perimeter Hardening,sg_restrict_public_ports,EC2.18,insecure_workload_stack,"Same open-admin-port SG misconfiguration attached to running EC2 workload.",aws_security_group.admin_ports_open|aws_vpc_security_group_ingress_rule.rdp_from_anywhere|aws_instance.workload,"Security group `<prefix>-admin-sg`, EC2 Name tag `<prefix>-ec2`",ComplianceSecurityControlId,EC2.18,implementable,"Alias/related control coverage."
Network / EC2 Perimeter Hardening,ebs_snapshot_block_public_access,EC2.182,insecure_workload_stack,"Disables snapshot block public access via EC2 API and marks workload snapshot as publicly shareable.",terraform_data.disable_snapshot_block_public_access|terraform_data.make_snapshot_public|aws_ebs_snapshot.workload_data,"EBS snapshot block public access disabled; snapshot `<prefix>-data-snapshot` is publicly shareable",ComplianceSecurityControlId,EC2.182,implementable,"Uses current EC2 DisableSnapshotBlockPublicAccess API behavior."
Network / EC2 Perimeter Hardening,ebs_default_encryption,EC2.7,insecure_workload_stack,"EBS encryption by default is disabled; EC2 root and attached data volume are unencrypted.",aws_ebs_encryption_by_default.disabled|aws_instance.workload|aws_ebs_volume.workload_data,EBS default encryption=false with unencrypted volumes,ComplianceSecurityControlId,EC2.7,implementable,"Shows policy+workload relationship."
IAM Root Credential Hygiene,iam_root_access_key_absent,IAM.4,not_feasible,"Requires creating active root-user access key, which is interactive root-only action.",N/A,Root credential report entry for active access key,ComplianceSecurityControlId,IAM.4,not_feasible,"Closest simulation: generate findings from an account where root key is manually created, then ingest into SaaS."
Inspector Findings,inspector,Inspector vulnerability findings,not_feasible,"Deterministic Inspector CVE findings require specific package CVEs and scan timing outside pure IaC guarantees.",N/A,Inspector finding records for EC2/ECR workloads,ProductName,Inspector,not_feasible,"Closest simulation: deploy intentionally outdated image/instance and wait for Inspector scan, but finding IDs/severity are time-dependent."
